manufacturer,model,form,smartphone,year,units_sold_m
Nokia,1100,Bar,FeaturePhones,2003,250.0
Nokia,1110,Bar,FeaturePhones,2005,247.5
Apple,iPhone 6 and iPhone 6 Plus,Touchscreen,SmartPhones,2014,224.0
Nokia,"105 (2013), 105 (2015)",Bar,FeaturePhones,2013,200.0
Apple,iPhone 6S and iPhone 6S Plus,Touchscreen,SmartPhones,2015,174.1
Apple,iPhone 5S,Touchscreen,SmartPhones,2013,164.5
Nokia,3210,Bar,FeaturePhones,1999,161.0
Apple,iPhone 7 and iPhone 7 Plus,Touchscreen,SmartPhones,2016,159.9
Apple,"iPhone 11, iPhone 11 Pro and iPhone 11 Pro Max",Touchscreen,SmartPhones,2019,159.2
Apple,"iPhone XR, iPhone XS and iPhone XS Max",Touchscreen,SmartPhones,2018,151.1
Nokia,6600,Bar,SmartPhones,2003,150.0
Nokia,1200,Bar,FeaturePhones,2007,150.0
Nokia,5230,Touchscreen,SmartPhones,2009,150.0
Samsung,E1100,Bar,FeaturePhones,2009,150.0
Apple,iPhone 5,Touchscreen,SmartPhones,2012,146.2
Nokia,2600 (2610/2626/2630),Bar,FeaturePhones,2004,135.0
Motorola,RAZR V3,Flip phone,FeaturePhones,2004,130.0
Nokia,1600 (1650/1661),Bar,FeaturePhones,2005,130.0
Nokia,3310 (3330),Bar,FeaturePhones,2000,126.0
Apple,iPhone 8 and iPhone 8 Plus,Touchscreen,SmartPhones,2017,124.7
Nokia,1208 (1209),Bar,FeaturePhones,2007,100.0
Nokia,1280,Bar,FeaturePhones,2010,100.0
Nokia,6010 (6020/6030),Bar,FeaturePhones,2004,75.0
Samsung,Galaxy S III and Galaxy S III Mini,Touchscreen,SmartPhones,2012,70.0
Samsung,Galaxy S4,Touchscreen,SmartPhones,2013,70.0
Nokia,5130 (5220/5310),Bar,FeaturePhones,2007,65.0
Apple,iPhone X,Touchscreen,SmartPhones,2017,63.0
Apple,iPhone 4S,Touchscreen,SmartPhones,2011,60.0
Motorola,StarTAC,Flip phone,FeaturePhones,1996,60.0
Motorola,C200,Bar,FeaturePhones,2003,60.0
Motorola,C139,Bar,FeaturePhones,2005,60.0
Samsung,Galaxy S7 and Galaxy S7 edge,Touchscreen,SmartPhones,2016,55.0
Nokia,3100 (3120),Bar,FeaturePhones,2003,50.0
Nokia,6230 (6233),Bar,FeaturePhones,2004,50.0
Apple,iPhone 4,Touchscreen,SmartPhones,2010,50.0
Samsung,Galaxy S6 and Galaxy S6 edge,Touchscreen,SmartPhones,2015,45.0
Nokia,N70 (N72/N73),Bar,SmartPhones,2005,45.0
Samsung,Galaxy S8 and Galaxy S8+,Touchscreen,SmartPhones,2017,41.0
Samsung,Galaxy S II,Touchscreen,SmartPhones,2011,40.0
Samsung,"Galaxy S10, Galaxy S10+ and Galaxy S10e",Touchscreen,SmartPhones,2019,37.0
Samsung,Galaxy S9 and Galaxy S9+,Touchscreen,SmartPhones,2018,35.4
Nokia,2650,Flip phone,FeaturePhones,2004,35.0
Nokia,6300,Bar,FeaturePhones,2006,47.0
Apple,iPhone 3GS,Touchscreen,SmartPhones,2009,35.0
Huawei,"P20, P20 Pro and P20 Lite",Touchscreen,SmartPhones,2018,32.0
Samsung,Galaxy A10,Touchscreen,SmartPhones,2019,30.3
Samsung,E250,Slider,FeaturePhones,2006,30.0
LG,KP100,Bar,FeaturePhones,2008,30.0
